station,longitude,QoS,latitude,revision,continent,city
Parola,75.11937,acceptable,20.88098,2025-07-14,Asia,Kolkata
Nyahururu,36.36339,good,0.03813,2022-03-18,Africa,Nairobi
Le Robert,-60.94228,good,14.67751,2022-01-22,America,Martinique
Catende,-35.71667,acceptable,-8.66667,2021-07-27,America,Recife
Losser,7.00417,good,52.26083,2022-11-24,Europe,Amsterdam
Kantharalak,104.64992,good,14.64056,2024-07-19,Asia,Bangkok
Losser,7.00417,good,52.26083,2023-10-12,Europe,Amsterdam
Leyland,-2.68758,good,53.69786,2025-03-12,Europe,London
Rudolstadt,11.34046,good,50.72043,2018-11-18,Europe,Berlin
Zaysan,84.87144,maintenance,47.46657,2025-05-08,Asia,Almaty
Morningside Heights,-73.9625,excellent,40.81,2022-11-16,America,New_York
Qadirpur Ran,71.67164,good,30.29184,2018-02-03,Asia,Karachi
Lesosibirsk,92.48278,acceptable,58.23583,2020-06-11,Asia,Krasnoyarsk
Dongdu,117.7,good,35.85,2019-09-11,Asia,Shanghai
Perth,115.8614,good,-31.95224,2020-12-12,Australia,Perth
Onex,6.10237,good,46.18396,2023-08-30,Europe,Zurich
Wevelgem,3.16667,acceptable,50.8,2015-11-28,Europe,Brussels
Shushary,30.38167,excellent,59.80917,2017-08-12,Europe,Moscow
Hrazdan,44.7662,acceptable,40.49748,2025-04-08,Asia,Yerevan
Mongo,18.69303,good,12.18441,2020-09-16,Africa,Ndjamena
East Jerusalem,35.23388,good,31.78336,2021-07-31,Asia,Hebron
Hermsdorf,13.31783,excellent,52.61131,2021-05-28,Europe,Berlin
Binnish,36.7138,maintenance,35.95664,2021-04-16,Asia,Damascus
Standerton,29.24152,good,-26.93366,2018-10-09,Africa,Johannesburg
Itacoatiara,-58.44417,acceptable,-3.14306,2023-11-10,America,Manaus
Bourbonnais,-87.88754,maintenance,41.15376,2017-11-28,America,Chicago
Beaconsfield,-73.86586,good,45.43341,2019-12-25,America,Toronto
Chiavari,9.32241,good,44.31771,2017-09-19,Europe,Rome
Laiwu,117.65694,good,36.19278,2017-07-20,Asia,Shanghai
Tebingtinggi,99.1625,acceptable,3.3285,2023-03-03,Asia,Jakarta
West Des Moines,-93.71133,excellent,41.57721,2021-05-12,America,Chicago
Corralillo,-80.58556,excellent,22.98212,2017-08-16,America,Havana
Beaconsfield,-73.86586,good,45.43341,2024-02-22,America,Toronto
Gembloux,4.69889,excellent,50.56149,2018-01-05,Europe,Brussels
Udumalaippettai,77.24779,good,10.58806,2019-05-28,Asia,Kolkata
Kelowna,-119.48568,good,49.88307,2024-02-09,America,Vancouver
Telč,15.454273,good,49.183239,2023-08-19,Europe,Prague
Memmingen,10.18527,excellent,47.98372,2024-06-18,Europe,Berlin
Radevormwald,7.36027,good,51.20219,2018-12-06,Europe,Berlin
Arba Minch,37.55,good,6.03333,2016-09-12,Africa,Addis_Ababa
Bridgeport,-73.20483,excellent,41.16704,2016-11-20,America,New_York
Meerut,77.70636,acceptable,28.98002,2017-05-16,Asia,Kolkata
Budva,18.84,acceptable,42.28639,2023-12-28,Europe,Podgorica
Narva,28.19028,excellent,59.37722,2022-07-02,Europe,Tallinn
Encinitas,-117.29198,good,33.03699,2018-11-01,America,Los_Angeles
Hlukhiv,33.9162,acceptable,51.67822,2019-10-27,Europe,Kyiv
Pedro II,-41.45861,maintenance,-4.42472,2019-06-10,America,Fortaleza
Nova Xavantina,-52.35558,excellent,-14.66463,2020-11-10,America,Cuiaba
Krymsk,37.99117,excellent,44.92934,2018-05-01,Europe,Moscow
Volla,14.34085,good,40.87363,2016-02-29,Europe,Rome
Astara,48.87498,good,38.45598,2018-01-30,Asia,Baku
Harrisburg,-76.88442,good,40.2737,2018-11-15,America,New_York
Yonkers,-73.89875,excellent,40.93121,2019-03-10,America,New_York
Canavieiras,-38.94722,good,-15.675,2017-09-06,America,Bahia
Rwamagana,30.4347,good,-1.9487,2022-07-19,Africa,Kigali
El Achir,4.62744,maintenance,36.06386,2017-03-01,Africa,Algiers
Coralville,-91.58045,maintenance,41.6764,2024-09-27,America,Chicago
Pahrump,-115.98391,excellent,36.20829,2017-11-17,America,Los_Angeles
Sakaraha,44.53333,good,-22.9,2022-11-18,Indian,Antananarivo
Ganei Tikva,34.8732,acceptable,32.05971,2021-04-21,Asia,Jerusalem
Tebingtinggi,99.1625,excellent,3.3285,2021-03-14,Asia,Jakarta
Inverness,-4.22398,excellent,57.47908,2021-10-23,Europe,London
Mvomero,38.66667,good,-6.25,2024-11-27,Africa,Dar_es_Salaam
Canavieiras,-38.94722,good,-15.675,2019-02-16,America,Bahia
Massapequa,-73.47429,good,40.68066,2018-04-18,America,New_York
Wangon,109.05389,excellent,-7.51611,2017-10-03,Asia,Jakarta
Parola,75.11937,acceptable,20.88098,2018-10-05,Asia,Kolkata
Carindale,153.10236,acceptable,-27.50578,2024-06-25,Australia,Brisbane
Neuburg an der Donau,11.18709,good,48.73218,2021-12-11,Europe,Berlin
Brunswick,-69.96533,excellent,43.91452,2019-12-22,America,New_York
Puerto Colombia,-74.95472,good,10.98778,2020-09-14,America,Bogota
Karatsu,129.96972,good,33.4425,2021-04-13,Asia,Tokyo
Patnos,42.85693,good,39.22493,2023-12-18,Europe,Istanbul
La Trinidad,120.5875,excellent,16.455,2016-04-28,Asia,Manila
Marburg an der Lahn,8.77069,good,50.80904,2019-08-13,Europe,Berlin
Most,13.63617,good,50.50301,2018-05-14,Europe,Prague
Rosedale,-76.51552,acceptable,39.32011,2024-09-16,America,New_York
Fontenay-aux-Roses,2.29275,good,48.79325,2017-10-20,Europe,Paris
Brenham,-96.39774,good,30.16688,2024-11-25,America,Chicago
Terezín,14.150558,excellent,50.511002,2018-06-10,Europe,Prague
Sun City Center,-82.35176,good,27.71809,2023-03-01,America,New_York
Volla,14.34085,excellent,40.87363,2017-01-11,Europe,Rome
Shepetivka,27.06365,maintenance,50.18545,2024-09-27,Europe,Kyiv
Lakota,-5.682,good,5.84752,2016-04-08,Africa,Abidjan
Hoxtolgay,86.00214,good,46.51872,2024-03-07,Asia,Urumqi
Magong,119.58627,excellent,23.5654,2020-05-17,Asia,Taipei
San Jose,121.06761,good,12.35275,2023-04-06,Asia,Manila
Tver,35.90057,excellent,56.85836,2025-07-09,Europe,Moscow
Montana,23.225,excellent,43.4125,2019-10-24,Europe,Sofia
Agrigento,13.57661,acceptable,37.31065,2024-05-10,Europe,Rome
Independence,-94.41551,good,39.09112,2016-07-08,America,Chicago
Xiangtan,112.9,good,27.85,2018-03-16,Asia,Shanghai
Charlottetown,-63.13414,excellent,46.23899,2023-04-27,America,Halifax
Jocotepec,-103.42897,excellent,20.28527,2017-03-12,America,Mexico_City
Skalica,17.22635,excellent,48.8449,2023-07-06,Europe,Bratislava
Santa Catalina,122.8637,good,9.3337,2024-08-26,Asia,Manila
Mouscron,3.20639,good,50.74497,2019-05-23,Europe,Brussels
Alfenas,-45.94722,excellent,-21.42917,2015-10-28,America,Sao_Paulo
Ngemplak,110.71639,good,-7.54972,2025-06-10,Asia,Jakarta
Idenao,9.00472,good,4.2475,2023-01-30,Africa,Douala
Tavda,65.27258,acceptable,58.04254,2021-10-28,Asia,Yekaterinburg
Manaoag,120.4861,excellent,16.0438,2022-12-18,Asia,Manila
Saint-Genis-Laval,4.7934,maintenance,45.69558,2024-12-21,Europe,Paris
Simpang,104.09701,acceptable,-1.26424,2024-07-31,Asia,Jakarta
Tyler,-95.30106,acceptable,32.35126,2022-09-27,America,Chicago
Naro-Fominsk,36.73307,acceptable,55.38752,2020-07-06,Europe,Moscow
Sceaux,2.29026,excellent,48.77644,2024-06-25,Europe,Paris
Itaperuna,-41.88778,excellent,-21.205,2024-12-31,America,Sao_Paulo
Collinwood,-81.56929,good,41.55838,2023-07-25,America,New_York
Charlottenburg-Nord,13.29371,excellent,52.53048,2025-02-21,Europe,Berlin
Adliswil,8.52462,good,47.30997,2018-07-15,Europe,Zurich
Oschatz,13.10984,good,51.30001,2021-09-27,Europe,Berlin
Camayenne,-13.68778,excellent,9.535,2023-09-25,Africa,Conakry
Ksar Chellala,2.31889,good,35.21222,2021-09-01,Africa,Algiers
Croix-des-Bouquets,-72.22625,acceptable,18.57677,2022-10-13,America,Port-au-Prince
North Lauderdale,-80.22588,good,26.2173,2020-11-17,America,New_York
Sirsi,74.83554,excellent,14.62072,2021-02-19,Asia,Kolkata
Qadirpur Ran,71.67164,excellent,30.29184,2021-09-17,Asia,Karachi
Soledade,-52.51028,good,-28.81833,2021-08-02,America,Sao_Paulo
Stade,9.47629,good,53.59337,2021-04-30,Europe,Berlin
Donggongon,116.10146,acceptable,5.90702,2021-10-07,Asia,Kuching
Bobigny,2.45012,good,48.90982,2024-02-21,Europe,Paris
Acworth,-84.67837,good,34.06635,2017-11-13,America,New_York
Fayetteville,-78.87836,good,35.05266,2023-08-24,America,New_York
Brighton Beach,-73.95958,good,40.57788,2019-12-09,America,New_York
Gero,137.23333,good,35.8,2022-04-20,Asia,Tokyo
Nikolayevsk-on-Amure,140.72287,excellent,53.14657,2016-02-23,Asia,Vladivostok
Kendall,-80.31727,good,25.67927,2019-09-14,America,New_York
Woodbridge,-74.28459,good,40.5576,2016-05-26,America,New_York
Sungurlu,34.37389,good,40.1675,2023-06-17,Europe,Istanbul
Hushitai,123.50266,excellent,41.94175,2017-03-10,Asia,Shanghai
Hushitai,123.50266,good,41.94175,2016-11-18,Asia,Shanghai
Socorro,-73.26022,good,6.46838,2017-12-13,America,Bogota
Freetown,-13.2356,good,8.48714,2020-05-18,Africa,Freetown
Ostrava,18.262524,good,49.820923,2022-01-20,Europe,Prague
Lancing,-0.32247,good,50.82882,2019-05-20,Europe,London
Kenda,86.51499,maintenance,23.1959,2015-10-14,Asia,Kolkata
Gisborne,178.00417,acceptable,-38.65333,2021-11-17,Pacific,Auckland
West Des Moines,-93.71133,acceptable,41.57721,2023-05-29,America,Chicago
Paidha,30.98551,good,2.41669,2016-02-20,Africa,Kampala
Paidha,30.98551,excellent,2.41669,2023-04-13,Africa,Kampala
Copperas Cove,-97.90308,good,31.12406,2016-01-12,America,Chicago
Narwar,77.9129,excellent,25.6439,2020-09-17,Asia,Kolkata
South Lawndale,-87.71255,good,41.84364,2021-01-12,America,Chicago
Eisen,128.63083,good,36.82167,2024-11-06,Asia,Seoul
Davangere,75.92694,excellent,14.46693,2025-04-08,Asia,Kolkata
Strood,0.47713,excellent,51.39323,2016-09-07,Europe,London
Ulan Bator,106.88324,good,47.90771,2022-01-07,Asia,Ulaanbaatar
Aytos,27.25,good,42.7,2018-05-29,Europe,Sofia
Dongfeng,125.51176,excellent,42.64031,2016-06-15,Asia,Shanghai
Idenao,9.00472,good,4.2475,2019-05-12,Africa,Douala
Guyong,120.97844,acceptable,14.8361,2019-02-26,Asia,Manila
Haldwani,79.5286,acceptable,29.22254,2022-04-12,Asia,Kolkata
Baulkham Hills,150.99292,excellent,-33.75881,2022-03-11,Australia,Sydney
Gero,137.23333,acceptable,35.8,2018-05-31,Asia,Tokyo
Quimper,-4.1,good,48.0,2020-03-21,Europe,Paris
Iwade,135.31667,excellent,34.25,2016-08-03,Asia,Tokyo
Kafanchan,8.2926,excellent,9.58126,2022-04-18,Africa,Lagos
Norfolk County,-80.38297,good,42.8334,2019-11-24,America,Toronto
Imbituba,-48.67028,excellent,-28.24,2019-08-13,America,Sao_Paulo
Reus,1.10687,good,41.15612,2021-12-02,Europe,Madrid
Guanajuato,-101.2591,excellent,21.01858,2016-02-16,America,Mexico_City
Gaziantep,37.3825,acceptable,37.05944,2020-07-09,Europe,Istanbul
Bachhraon,78.23456,acceptable,28.92694,2016-01-17,Asia,Kolkata
Fazilpur,75.06583,excellent,32.17629,2022-06-16,Asia,Karachi
Thomazeau,-72.09391,excellent,18.65297,2018-07-30,America,Port-au-Prince
Cebu City,123.89071,good,10.31672,2020-07-08,Asia,Manila
Pameungpeuk,107.60389,good,-7.01833,2021-04-13,Asia,Jakarta
Plzeň,13.373637,good,49.73843,2022-10-21,Europe,Prague
Rangia,91.61356,excellent,26.44931,2019-07-05,Asia,Kolkata
La Victoria,-67.33122,good,10.22677,2017-07-17,America,Caracas
Puducherry,79.82979,maintenance,11.93381,2021-02-20,Asia,Kolkata
Qadirpur Ran,71.67164,good,30.29184,2016-12-09,Asia,Karachi
Newbury,-1.32471,good,51.40148,2018-10-17,Europe,London
Alatyr‚Äô,46.5813,acceptable,54.8421,2016-03-09,Europe,Moscow
Tandil,-59.13316,acceptable,-37.32167,2023-10-19,America/Argentina,Buenos_Aires
Schleswig,9.5586,good,54.52156,2021-03-05,Europe,Berlin
Thetford,0.75,good,52.41667,2019-01-12,Europe,London
Laiwu,117.65694,good,36.19278,2024-10-03,Asia,Shanghai
Hueytown,-86.99666,excellent,33.45122,2022-12-02,America,Chicago
Gauting,11.37703,excellent,48.06919,2017-05-05,Europe,Berlin
Davis,-121.74052,good,38.54491,2024-02-27,America,Los_Angeles
La Garenne-Colombes,2.2469,maintenance,48.90472,2017-07-29,Europe,Paris
Foshan,113.13148,good,23.02677,2022-01-09,Asia,Shanghai
Gua Musang,101.96857,good,4.88441,2022-04-24,Asia,Kuala_Lumpur
Fitchburg,-71.8023,good,42.58342,2021-01-22,America,New_York
Changzhi,111.73861,good,35.20889,2022-01-18,Asia,Shanghai
Kolomyagi,30.28491,excellent,60.02427,2017-05-15,Europe,Moscow
Milledgeville,-83.2321,excellent,33.08014,2023-12-14,America,New_York
Gandia,-0.18333,excellent,38.96667,2025-02-08,Europe,Madrid
Maryborough,152.70493,acceptable,-25.54073,2016-10-19,Australia,Brisbane
Pujali,88.1453,excellent,22.4711,2024-05-03,Asia,Kolkata
Gronau,7.02238,good,52.21099,2020-02-18,Europe,Berlin
Gifhorn,10.5511,acceptable,52.47774,2016-12-21,Europe,Berlin
Bogovinje,20.91361,good,41.92361,2020-06-13,Europe,Skopje
Tharu Shah,68.11759,good,26.9423,2016-12-15,Asia,Karachi
Baulkham Hills,150.99292,good,-33.75881,2016-01-01,Australia,Sydney
Marau,-52.2,good,-28.44917,2018-07-09,America,Sao_Paulo
Beveren,4.25633,good,51.21187,2020-08-06,Europe,Brussels
Itacoatiara,-58.44417,good,-3.14306,2024-07-28,America,Manaus
Talipparamba,75.35927,excellent,12.04161,2020-07-09,Asia,Kolkata
Ukmerge,24.75,good,55.25,2023-10-15,Europe,Vilnius
Pedro II,-41.45861,excellent,-4.42472,2019-08-25,America,Fortaleza
Ajdabiya,20.22625,excellent,30.75545,2020-12-24,Africa,Tripoli
Ciudad Guayana,-62.64102,acceptable,8.35122,2021-02-06,America,Caracas
Kuvandyk,57.3552,good,51.4781,2020-07-02,Asia,Yekaterinburg
Sankt Peter,15.46667,good,47.05,2019-06-16,Europe,Vienna
Jais,81.54855,acceptable,26.2649,2016-05-03,Asia,Kolkata
Iquitos,-73.25383,good,-3.74912,2024-01-11,America,Lima
Sukabumi,106.92667,excellent,-6.91806,2025-03-20,Asia,Jakarta
Messaad,3.50309,good,34.15429,2022-09-07,Africa,Algiers
Pointe-Claire,-73.81669,good,45.44868,2018-09-27,America,Toronto
Crystal Lake,-88.3162,acceptable,42.24113,2015-12-16,America,Chicago
Gainesville,-82.32483,good,29.65163,2018-12-27,America,New_York
Barpeta,91.00632,acceptable,26.32293,2017-08-08,Asia,Kolkata
Beni Khiar,10.78222,excellent,36.46917,2021-11-18,Africa,Tunis
Oaxaca,-96.72365,acceptable,17.06542,2019-08-10,America,Mexico_City
Evergreen Park,-87.70172,good,41.72059,2023-11-14,America,Chicago
Lakewood,-81.79819,good,41.48199,2018-02-28,America,New_York
Yashkino,85.4265,good,55.8736,2021-09-14,Asia,Novokuznetsk
Onex,6.10237,good,46.18396,2024-08-01,Europe,Zurich
Ukmerge,24.75,excellent,55.25,2021-05-02,Europe,Vilnius
Saratoga Springs,-111.90466,excellent,40.34912,2019-01-27,America,Denver
Lakewood,-81.79819,acceptable,41.48199,2023-09-16,America,New_York
Kelowna,-119.48568,good,49.88307,2017-01-24,America,Vancouver
Castelfranco Emilia,11.04979,acceptable,44.59445,2022-04-01,Europe,Rome
Bogovinje,20.91361,good,41.92361,2018-07-06,Europe,Skopje
Dombivli,73.08333,acceptable,19.21667,2018-04-01,Asia,Kolkata
Woodbridge,-74.28459,good,40.5576,2016-12-09,America,New_York
Bachhraon,78.23456,acceptable,28.92694,2018-11-11,Asia,Kolkata
Tharu Shah,68.11759,maintenance,26.9423,2020-07-13,Asia,Karachi
Beidao,105.89333,acceptable,34.56861,2017-05-19,Asia,Shanghai
Yamada,141.95,good,39.46667,2017-09-05,Asia,Tokyo
Puducherry,79.82979,maintenance,11.93381,2019-10-16,Asia,Kolkata
Lower Earley,-0.91979,excellent,51.42708,2019-06-14,Europe,London
Marau,-52.2,acceptable,-28.44917,2025-02-22,America,Sao_Paulo
Damnoen Saduak,99.95469,excellent,13.51825,2025-05-26,Asia,Bangkok
Xiangtan,112.9,good,27.85,2020-11-25,Asia,Shanghai
Bachhraon,78.23456,excellent,28.92694,2023-12-14,Asia,Kolkata
Murray,-88.31476,excellent,36.61033,2019-11-21,America,Chicago
Srinagar,74.80555,acceptable,34.08565,2019-08-11,Asia,Kolkata
Isfahan,51.67462,good,32.65246,2019-05-11,Asia,Tehran
Saraj,21.32778,good,42.0,2020-06-02,Europe,Skopje
Ventimiglia,7.60872,acceptable,43.78956,2016-07-17,Europe,Rome
Ar Ruseris,34.3869,good,11.8659,2024-05-04,Africa,Khartoum
Kyzylorda,65.50917,acceptable,44.85278,2020-11-08,Asia,Qyzylorda
Toyokawa,137.4,acceptable,34.81667,2018-05-11,Asia,Tokyo
Chichicastenango,-91.11667,good,14.93333,2022-02-26,America,Guatemala
Guapimirim,-42.98194,acceptable,-22.53722,2016-09-10,America,Sao_Paulo
Yauco,-66.8499,excellent,18.03496,2020-02-04,America,Puerto_Rico
Edremit,27.02444,acceptable,39.59611,2019-12-25,Europe,Istanbul
Albstadt,9.02596,good,48.21644,2021-08-09,Europe,Berlin
Yamada,141.95,excellent,39.46667,2018-08-21,Asia,Tokyo
Bushey,-0.36053,good,51.64316,2023-09-16,Europe,London
La Ligua,-71.23106,acceptable,-32.45242,2015-10-22,America,Santiago
Clacton-on-Sea,1.15597,good,51.78967,2017-07-06,Europe,London
Covington,-84.50855,acceptable,39.08367,2023-10-16,America,New_York
Opportunity,-117.23991,excellent,47.64995,2019-01-28,America,Los_Angeles
Great Wyrley,-2.01111,acceptable,52.66277,2019-08-08,Europe,London
Soledade,-52.51028,excellent,-28.81833,2019-10-29,America,Sao_Paulo
Shahre Jadide Andisheh,51.0193,excellent,35.6803,2022-12-25,Asia,Tehran
Pointe-Claire,-73.81669,good,45.44868,2020-09-10,America,Toronto
Milledgeville,-83.2321,good,33.08014,2021-09-15,America,New_York
South Lawndale,-87.71255,good,41.84364,2023-05-23,America,Chicago
Isfahan,51.67462,excellent,32.65246,2022-04-06,Asia,Tehran
Oulmes,-6.00137,good,33.42585,2016-03-10,Africa,Casablanca
Ushuaia,-68.3,good,-54.8,2024-12-21,America/Argentina,Ushuaia
Catende,-35.71667,excellent,-8.66667,2020-12-01,America,Recife
Beaconsfield,-73.86586,excellent,45.43341,2024-12-14,America,Toronto
Brzeg,17.4674,maintenance,50.86079,2018-05-28,Europe,Warsaw
Jocotepec,-103.42897,good,20.28527,2018-09-06,America,Mexico_City
Vestavia Hills,-86.78777,good,33.44872,2018-04-24,America,Chicago
Antanifotsy,47.31667,acceptable,-19.65,2023-02-02,Indian,Antananarivo
Ferrol,-8.2194,good,43.48961,2020-05-24,Europe,Madrid
Serinhisar,29.26639,good,37.58105,2022-12-24,Europe,Istanbul
Pato Branco,-52.67056,excellent,-26.22861,2025-04-06,America,Sao_Paulo
Boston,-71.05977,good,42.35843,2017-12-18,America,New_York
Nyangao,39.28333,good,-10.33333,2022-01-15,Africa,Dar_es_Salaam
Mira Mesa,-117.14392,excellent,32.9156,2024-11-18,America,Los_Angeles
Aschaffenburg,9.15214,good,49.97704,2018-02-03,Europe,Berlin
Fort Washington,-77.02303,excellent,38.70734,2016-08-07,America,New_York
Clermont,-81.77285,acceptable,28.54944,2022-04-01,America,New_York
Baulkham Hills,150.99292,good,-33.75881,2018-07-19,Australia,Sydney
Norwalk,-82.61573,acceptable,41.24255,2015-10-23,America,New_York
Vestavia Hills,-86.78777,good,33.44872,2022-05-13,America,Chicago
Yingkou,122.22833,good,40.66482,2015-09-29,Asia,Shanghai
Busia,34.11169,excellent,0.46005,2020-08-25,Africa,Nairobi
Kundla,71.30633,good,21.34222,2017-06-27,Asia,Kolkata
Harstad,16.54165,acceptable,68.79833,2019-06-14,Europe,Oslo
Kediri,112.01667,maintenance,-7.81667,2016-01-18,Asia,Jakarta
Belper,-1.48119,good,53.0233,2016-03-15,Europe,London
Pedro II,-41.45861,good,-4.42472,2018-10-13,America,Fortaleza
Nova Kakhovka,33.34864,good,46.75451,2019-05-25,Europe,Kyiv
Utica,-75.23266,acceptable,43.1009,2022-05-30,America,New_York
Tupelo,-88.70464,good,34.25807,2019-12-29,America,Chicago
Ovalle,-71.19901,excellent,-30.60106,2017-05-09,America,Santiago
Bad Honnef,7.2278,excellent,50.64336,2024-10-04,Europe,Berlin
Danilov,40.17171,good,58.1908,2022-10-22,Europe,Moscow
Maliana,125.21972,good,-8.99167,2023-08-25,Asia,Dili
Albufeira,-8.2503,excellent,37.08819,2021-06-18,Europe,Lisbon
Parkent,69.67639,good,41.29444,2016-02-22,Asia,Tashkent
Pujali,88.1453,maintenance,22.4711,2025-08-14,Asia,Kolkata
Soledade,-52.51028,good,-28.81833,2019-07-20,America,Sao_Paulo
Pleasant Prairie,-87.93341,good,42.55308,2017-07-20,America,Chicago
Santa Cruz de Barahona,-71.10077,acceptable,18.20854,2017-04-29,America,Santo_Domingo
Itaperuna,-41.88778,good,-21.205,2020-11-06,America,Sao_Paulo
Temara,-6.90656,good,33.92866,2020-08-21,Africa,Casablanca
Juhaynah,31.4976,maintenance,26.67319,2019-08-22,Africa,Cairo
Litvínov,13.610242,good,50.598427,2017-05-08,Europe,Prague
Fayetteville,-78.87836,excellent,35.05266,2017-04-04,America,New_York
Andes,-75.87877,good,5.6561,2023-07-02,America,Bogota
Leteri,77.40858,excellent,24.05979,2017-11-03,Asia,Kolkata
Tharu Shah,68.11759,excellent,26.9423,2018-06-27,Asia,Karachi
Mira Mesa,-117.14392,good,32.9156,2023-06-19,America,Los_Angeles
Davis,-121.74052,good,38.54491,2025-07-17,America,Los_Angeles
Kamina,24.99798,good,-8.73508,2016-08-18,Africa,Lubumbashi
Viradouro,-48.29694,excellent,-20.87306,2017-08-14,America,Sao_Paulo
Falconara Marittima,13.39954,maintenance,43.62558,2020-11-23,Europe,Rome
Pontevedra,-58.70072,good,-34.74785,2023-01-02,America/Argentina,Buenos_Aires
Carindale,153.10236,good,-27.50578,2022-02-01,Australia,Brisbane
Kaukauna,-88.27205,good,44.27804,2015-11-26,America,Chicago
Chichicastenango,-91.11667,acceptable,14.93333,2020-03-16,America,Guatemala
Hengshui,115.70111,good,37.73222,2018-03-24,Asia,Shanghai
Bushey,-0.36053,excellent,51.64316,2018-10-11,Europe,London
Hongseong,126.665,acceptable,36.6009,2021-09-10,Asia,Seoul
Herblay,2.1699,acceptable,48.98994,2021-10-10,Europe,Paris
Balikpapan,116.82887,good,-1.26753,2025-09-21,Asia,Makassar
Aklera,76.56719,excellent,24.41288,2024-10-06,Asia,Kolkata
Stupino,38.07083,excellent,54.90083,2024-08-05,Europe,Moscow
Greenfield,-85.76942,excellent,39.78504,2021-04-16,America/Indiana,Indianapolis
Kundla,71.30633,good,21.34222,2015-11-28,Asia,Kolkata
Gero,137.23333,good,35.8,2018-07-20,Asia,Tokyo
el Camp de l'Arpa del Clot,2.18247,good,41.41204,2023-04-20,Europe,Madrid
Nayoro,142.45778,acceptable,44.35056,2024-03-15,Asia,Tokyo
Watsonville,-121.75689,good,36.91023,2024-02-14,America,Los_Angeles
Nyangao,39.28333,good,-10.33333,2023-10-10,Africa,Dar_es_Salaam
Lompoc,-120.45794,excellent,34.63915,2018-01-22,America,Los_Angeles
les Escaldes,1.53414,maintenance,42.50729,2016-06-24,Europe,Andorra
Aguadilla,-67.15407,good,18.42745,2020-10-10,America,Puerto_Rico
Lexington,-81.23621,good,33.98154,2022-10-30,America,New_York
Canavieiras,-38.94722,acceptable,-15.675,2017-06-02,America,Bahia
Iturama,-50.19556,good,-19.72806,2023-01-11,America,Sao_Paulo
Shahre Jadide Andisheh,51.0193,acceptable,35.6803,2025-07-09,Asia,Tehran
Visitacion Valley,-122.40433,good,37.71715,2019-08-05,America,Los_Angeles
Eisen,128.63083,excellent,36.82167,2020-05-05,Asia,Seoul
Fresno,-95.44744,acceptable,29.53885,2022-12-27,America,Chicago
